,datetime,total,month,weekDay,day,hour,isHoliday
0,1/1/2005 0:00,154140.0,1,5.0,1,0,0
1,1/1/2005 1:00,154140.0,1,5.0,1,1,0
2,1/1/2005 2:00,157818.0,1,5.0,1,2,0
3,1/1/2005 3:00,149311.0,1,5.0,1,3,0
4,1/1/2005 4:00,138282.0,1,5.0,1,4,0
5,1/1/2005 5:00,132033.0,1,5.0,1,5,0
6,1/1/2005 6:00,129193.0,1,5.0,1,6,0
7,1/1/2005 7:00,131026.0,1,5.0,1,7,0
8,1/1/2005 8:00,138040.0,1,5.0,1,8,0
9,1/1/2005 9:00,158872.0,1,5.0,1,9,0
10,1/1/2005 10:00,189733.0,1,5.0,1,10,0
11,1/1/2005 11:00,213830.0,1,5.0,1,11,0
12,1/1/2005 12:00,219684.0,1,5.0,1,12,0
13,1/1/2005 13:00,216534.0,1,5.0,1,13,0
14,1/1/2005 14:00,212718.0,1,5.0,1,14,0
15,1/1/2005 15:00,202339.0,1,5.0,1,15,0
16,1/1/2005 16:00,200407.0,1,5.0,1,16,0
17,1/1/2005 17:00,197159.0,1,5.0,1,17,0
18,1/1/2005 18:00,197123.0,1,5.0,1,18,0
19,1/1/2005 19:00,198567.0,1,5.0,1,19,0
20,1/1/2005 20:00,194657.0,1,5.0,1,20,0
21,1/1/2005 21:00,196617.0,1,5.0,1,21,0
22,1/1/2005 22:00,200878.0,1,5.0,1,22,0
23,1/1/2005 23:00,200140.0,1,5.0,1,23,0
24,1/2/2005 0:00,171760.0,1,6.0,2,12,1
25,1/2/2005 1:00,145727.0,1,6.0,2,1,1
26,1/2/2005 2:00,127815.0,1,6.0,2,2,1
27,1/2/2005 3:00,120269.0,1,6.0,2,3,1
28,1/2/2005 4:00,117395.0,1,6.0,2,4,1
29,1/2/2005 5:00,116876.0,1,6.0,2,5,1
30,1/2/2005 6:00,124876.0,1,6.0,2,6,1
31,1/2/2005 7:00,135028.0,1,6.0,2,7,1
32,1/2/2005 8:00,152747.0,1,6.0,2,8,1
33,1/2/2005 9:00,191487.0,1,6.0,2,9,1
34,1/2/2005 10:00,228578.0,1,6.0,2,10,1
35,1/2/2005 11:00,247588.0,1,6.0,2,11,1
36,1/2/2005 12:00,245732.0,1,6.0,2,12,1
37,1/2/2005 13:00,236009.0,1,6.0,2,13,1
38,1/2/2005 14:00,224999.0,1,6.0,2,14,1
39,1/2/2005 15:00,209800.0,1,6.0,2,15,1
40,1/2/2005 16:00,208994.0,1,6.0,2,16,1
41,1/2/2005 17:00,206673.0,1,6.0,2,17,1
42,1/2/2005 18:00,205666.0,1,6.0,2,18,1
43,1/2/2005 19:00,205674.0,1,6.0,2,19,1
44,1/2/2005 20:00,204178.0,1,6.0,2,20,1
45,1/2/2005 21:00,208003.0,1,6.0,2,21,1
46,1/2/2005 22:00,208652.0,1,6.0,2,22,1
47,1/2/2005 23:00,191085.0,1,6.0,2,23,1
48,1/3/2005 0:00,178704.0,1,5.8,3,12,1
49,1/3/2005 1:00,147063.0,1,5.6,3,1,1
50,1/3/2005 2:00,125195.0,1,5.4,3,2,1
51,1/3/2005 3:00,116742.0,1,5.2,3,3,1
52,1/3/2005 4:00,112830.0,1,5.0,3,4,1
53,1/3/2005 5:00,115937.0,1,4.8,3,5,1
54,1/3/2005 6:00,127810.0,1,4.6,3,6,1
55,1/3/2005 7:00,139732.0,1,4.4,3,7,1
56,1/3/2005 8:00,163136.0,1,4.2,3,8,1
57,1/3/2005 9:00,200893.0,1,4.0,3,9,1
58,1/3/2005 10:00,234580.0,1,3.8,3,10,1
59,1/3/2005 11:00,247980.0,1,3.6,3,11,1
60,1/3/2005 12:00,245142.0,1,3.4,3,12,1
61,1/3/2005 13:00,239955.0,1,3.2,3,13,1
62,1/3/2005 14:00,227611.0,1,3.0,3,14,1
63,1/3/2005 15:00,218839.0,1,2.8,3,15,1
64,1/3/2005 16:00,215663.0,1,2.6,3,16,1
65,1/3/2005 17:00,215958.0,1,2.4,3,17,1
66,1/3/2005 18:00,207991.0,1,2.2,3,18,1
67,1/3/2005 19:00,212779.0,1,2.0,3,19,1
68,1/3/2005 20:00,221865.0,1,1.8,3,20,1
69,1/3/2005 21:00,216224.0,1,1.6,3,21,1
70,1/3/2005 22:00,228061.0,1,1.4,3,22,1
71,1/3/2005 23:00,204027.0,1,1.2,3,23,1
72,1/4/2005 0:00,177276.0,1,1.0,4,12,1
73,1/4/2005 1:00,147018.0,1,1.0,4,1,1
74,1/4/2005 2:00,127202.0,1,1.0,4,2,1
75,1/4/2005 3:00,118487.0,1,1.0,4,3,1
76,1/4/2005 4:00,116533.0,1,1.0,4,4,1
77,1/4/2005 5:00,121059.0,1,1.0,4,5,1
78,1/4/2005 6:00,131882.0,1,1.0,4,6,1
79,1/4/2005 7:00,148762.0,1,1.0,4,7,1
80,1/4/2005 8:00,167633.0,1,1.0,4,8,1
81,1/4/2005 9:00,206783.0,1,1.0,4,9,1
82,1/4/2005 10:00,238063.0,1,1.0,4,10,1
83,1/4/2005 11:00,252415.0,1,1.0,4,11,1
