datetime,total,month,weekDay,day,hour
1/1/2005 0:00,154140,1,5,1,0
1/1/2005 1:00,154140,1,5,1,1
1/1/2005 2:00,157818,1,5,1,2
1/1/2005 3:00,149311,1,5,1,3
1/1/2005 4:00,138282,1,5,1,4
1/1/2005 5:00,132033,1,5,1,5
1/1/2005 6:00,129193,1,5,1,6
1/1/2005 7:00,131026,1,5,1,7
1/1/2005 8:00,138040,1,5,1,8
1/1/2005 9:00,158872,1,5,1,9
1/1/2005 10:00,189733,1,5,1,10
1/1/2005 11:00,213830,1,5,1,11
1/1/2005 12:00,219684,1,5,1,12
1/1/2005 13:00,216534,1,5,1,13
1/1/2005 14:00,212718,1,5,1,14
1/1/2005 15:00,202339,1,5,1,15
1/1/2005 16:00,200407,1,5,1,16
1/1/2005 17:00,197159,1,5,1,17
1/1/2005 18:00,197123,1,5,1,18
1/1/2005 19:00,198567,1,5,1,19
1/1/2005 20:00,194657,1,5,1,20
1/1/2005 21:00,196617,1,5,1,21
1/1/2005 22:00,200878,1,5,1,22
1/1/2005 23:00,200140,1,5,1,23
1/2/2005 0:00,171760,1,6,2,12
1/2/2005 1:00,145727,1,6,2,1
1/2/2005 2:00,127815,1,6,2,2
1/2/2005 3:00,120269,1,6,2,3
1/2/2005 4:00,117395,1,6,2,4
1/2/2005 5:00,116876,1,6,2,5
1/2/2005 6:00,124876,1,6,2,6
1/2/2005 7:00,135028,1,6,2,7
1/2/2005 8:00,152747,1,6,2,8
1/2/2005 9:00,191487,1,6,2,9
1/2/2005 10:00,228578,1,6,2,10
1/2/2005 11:00,247588,1,6,2,11
1/2/2005 12:00,245732,1,6,2,12
1/2/2005 13:00,236009,1,6,2,13
1/2/2005 14:00,224999,1,6,2,14
1/2/2005 15:00,209800,1,6,2,15
1/2/2005 16:00,208994,1,6,2,16
1/2/2005 17:00,206673,1,6,2,17
1/2/2005 18:00,205666,1,6,2,18
1/2/2005 19:00,205674,1,6,2,19
1/2/2005 20:00,204178,1,6,2,20
1/2/2005 21:00,208003,1,6,2,21
1/2/2005 22:00,208652,1,6,2,22
1/2/2005 23:00,191085,1,6,2,23
1/3/2005 0:00,178704,1,5.8,3,12
1/3/2005 1:00,147063,1,5.6,3,1
1/3/2005 2:00,125195,1,5.4,3,2
1/3/2005 3:00,116742,1,5.2,3,3
1/3/2005 4:00,112830,1,5,3,4
1/3/2005 5:00,115937,1,4.8,3,5
1/3/2005 6:00,127810,1,4.6,3,6
1/3/2005 7:00,139732,1,4.4,3,7
1/3/2005 8:00,163136,1,4.2,3,8
1/3/2005 9:00,200893,1,4,3,9
1/3/2005 10:00,234580,1,3.8,3,10
1/3/2005 11:00,247980,1,3.6,3,11
1/3/2005 12:00,245142,1,3.4,3,12
1/3/2005 13:00,239955,1,3.2,3,13
1/3/2005 14:00,227611,1,3,3,14
1/3/2005 15:00,218839,1,2.8,3,15
1/3/2005 16:00,215663,1,2.6,3,16
1/3/2005 17:00,215958,1,2.4,3,17
1/3/2005 18:00,207991,1,2.2,3,18
1/3/2005 19:00,212779,1,2,3,19
1/3/2005 20:00,221865,1,1.8,3,20
1/3/2005 21:00,216224,1,1.6,3,21
1/3/2005 22:00,228061,1,1.4,3,22
1/3/2005 23:00,204027,1,1.2,3,23
1/4/2005 0:00,177276,1,1,4,12
1/4/2005 1:00,147018,1,1,4,1
1/4/2005 2:00,127202,1,1,4,2
